ID,X_h,Y_h,Z_h,M_h,C_h,S_h,z_h,Delta3_h,x_g,y_g,z_g,smass,color,radius,sSFR
148942.0,37.15546484375,83.7313515625,156.8905625,11.230634153817688,0.9492390492860612,0.1022130354982053,0.909090909091,9.76082010521514,37.15546417236328,83.73135375976562,156.89056396484375,9.020803865036694,0.4415760040283203,0.4283428472805063,-9.636041567876726
143805.0,62.74806640625,184.0405,188.505171875,11.193012406713333,0.9786032703792013,0.0573429486070365,1.33333333333,1.1237786305346378,62.74806594848633,184.04049682617188,188.5051727294922,8.825383654804886,0.0752315521240234,0.266293438103998,-9.731374720723206
37609.0,191.439203125,117.276421875,130.28853125,11.963388188556968,1.0610217345357915,0.0122754235611639,1.57575757576,2.584690850229668,191.439208984375,117.27642059326172,130.28852844238278,10.3912765466599,1.1300907135009766,0.4824146773019206,-12.301883425239245
48567.0,76.8075625,143.69371875,179.00184375,11.788297845043283,1.0476714929479676,0.0692089807054543,1.81818181818,0.9150768848639192,76.80756378173828,143.6937255859375,179.00184631347656,10.166031174085925,0.9101772308349608,0.7740717460546374,-11.408447153028126
92208.0,177.415203125,11.204671875,30.818140625,11.464063959923427,1.1172776583600574,0.0677014195488852,2.2424242424200003,1.2843184348967287,177.4152069091797,11.204671859741213,30.81814002990723,9.647124376025896,1.016805648803711,0.6798627987333663,-10.740095242611186
5635.0,172.6004375,56.8683203125,154.1096875,12.688550711813235,0.9428885824395308,0.065833843962931,0.787878787879,2.35993512412274,172.60043334960938,56.86832046508789,154.10968017578125,11.032345716232452,1.1574783325195312,0.7600505542461473,-13.95391252907222
45767.0,161.083515625,52.5860546875,142.437421875,11.750391384803462,0.935142674311808,0.0091758723968027,0.8484848484849999,3.5318756959660043,161.08351135253906,52.58605575561523,142.4374237060547,10.054799343015135,0.6249065399169922,0.3651774082735642,-9.834450684408484
18083.0,104.1807578125,117.6052109375,14.4263837890625,12.101283118098385,1.108554864366408,0.0560452504609047,1.81818181818,1.7338298871105842,104.18075561523438,117.60520935058594,14.426383972167969,10.68675823376637,0.8892059326171875,0.7512052114332117,-10.300257534975527
193746.0,143.6660625,106.1473515625,204.705515625,11.072365323380344,0.9649798932162466,0.0338660154334995,1.57575757576,1.8140997892916293,143.6660614013672,106.14735412597656,204.7055206298828,8.873419044693179,0.5285835266113281,0.4265568772194458,-9.833982178847632
172129.0,117.456484375,30.694701171875,162.84799999999998,11.148293870650864,1.0357961119320644,0.0470130317376761,1.51515151515,4.928571993916197,117.45648193359376,30.69470024108887,162.84800720214844,9.19102300623594,0.7672538757324219,0.4251695706324428,-10.297198273703508
