M_h,C_h,S_h,z_h
11.230634153817688,0.9492390492860612,0.1022130354982053,0.909090909091
11.193012406713333,0.9786032703792013,0.0573429486070365,1.33333333333
11.963388188556968,1.0610217345357915,0.0122754235611639,1.57575757576
11.788297845043283,1.0476714929479676,0.0692089807054543,1.81818181818
11.464063959923427,1.1172776583600574,0.0677014195488852,2.2424242424200003
12.688550711813235,0.9428885824395308,0.065833843962931,0.787878787879
11.750391384803462,0.935142674311808,0.0091758723968027,0.8484848484849999
12.101283118098385,1.108554864366408,0.0560452504609047,1.81818181818
11.072365323380344,0.9649798932162466,0.0338660154334995,1.57575757576
11.148293870650864,1.0357961119320644,0.0470130317376761,1.51515151515
